"date","borough","case_count","hosp_count","death_count","vx_fully","vx_plus1","vx_additional","vx_fully_perc","vx_plus1_perc","vx_additional_perc","population","percent","case_count_perc","hosp_count_perc","death_count_perc"
2020-04-10,"Brooklyn",1145,330,178,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0418482833432137,0.012061077295424,0.00650567199571357
2020-04-10,"Manhattan",495,178,69,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0292164502190053,0.0105061174524908,0.00407259609113408
2020-04-10,"Queens",1342,439,155,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0557896522251008,0.0182501172330993,0.00644366325997812
2020-04-10,"Staten Island",301,62,19,NA,NA,NA,NA,NA,NA,495747,5.6,0.0607164541590771,0.0125063792620026,0.00383260009642015
2020-04-11,"Bronx",998,248,132,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0677688038059178,0.0168403440319315,0.00896340892022159
2020-04-11,"Brooklyn",1131,299,160,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0413366012761351,0.0109280670040357,0.0058477950523268
2020-04-11,"Manhattan",304,132,60,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0179430320536922,0.00779105339173475,0.00354138790533398
2020-04-11,"Queens",987,329,164,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0410315847586994,0.0136771949195665,0.00681781144926717
2020-04-11,"Staten Island",311,47,28,NA,NA,NA,NA,NA,NA,495747,5.6,0.0627336121045614,0.00948064234377616,0.00564804224735601
2020-04-12,"Bronx",763,229,110,NA,NA,NA,NA,NA,NA,1472654,16.7,0.051811219743402,0.0155501563843238,0.00746950743351799
2020-04-12,"Brooklyn",703,255,201,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0256937495111609,0.00931992336464584,0.00734629253448554
2020-04-12,"Manhattan",252,130,62,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0148738292024027,0.00767300712822362,0.00365943416884511
2020-04-12,"Queens",916,298,174,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0380799712654191,0.0123884622675708,0.00723353165958834
2020-04-12,"Staten Island",253,44,26,NA,NA,NA,NA,NA,NA,495747,5.6,0.0510340960207525,0.00887549496013087,0.00524461065825915
2020-04-13,"Bronx",693,263,122,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0470578968311633,0.0178589132274112,0.00828436278990177
2020-04-13,"Brooklyn",1066,327,157,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0389609345361273,0.0119514311381929,0.00573814889509567
2020-04-13,"Manhattan",393,171,71,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0231960907799376,0.0100929555302018,0.00419064235464521
2020-04-13,"Queens",974,342,192,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0404911484852818,0.014217631192984,0.00798182803816644
2020-04-13,"Staten Island",185,58,25,NA,NA,NA,NA,NA,NA,495747,5.6,0.0373174219914594,0.0116995160838089,0.00504289486371072
2020-04-14,"Bronx",1076,203,111,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0730653636224123,0.0137846364454923,0.00753741204654997
2020-04-14,"Brooklyn",1038,265,152,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0379375704019701,0.00968541055541626,0.00555540529971046
2020-04-14,"Manhattan",440,140,59,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0259701779724492,0.00826323844577928,0.00348236477357841
2020-04-14,"Queens",1300,337,161,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0540436273417519,0.0140097710878234,0.00669309538617082
2020-04-14,"Staten Island",290,46,24,NA,NA,NA,NA,NA,NA,495747,5.6,0.0584975804190444,0.00927892654922773,0.00484117906916229
2020-04-15,"Bronx",1068,202,95,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0725221267181565,0.0137167318324603,0.00645093823803826
2020-04-15,"Brooklyn",882,247,133,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0322359702259515,0.0090275336120295,0.00486097963724665
2020-04-15,"Manhattan",429,130,56,NA,NA,NA,NA,NA,NA,1694251,19.2,0.025320923523138,0.00767300712822362,0.00330529537831171
2020-04-15,"Queens",1180,263,148,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0490549848178979,0.0109334415314467,0.0061526591127533
2020-04-15,"Staten Island",317,32,24,NA,NA,NA,NA,NA,NA,495747,5.6,0.063943906871852,0.00645490542554973,0.00484117906916229
2020-04-16,"Bronx",940,173,86,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0638303362500628,0.0117474980545328,0.00583979672075043
2020-04-16,"Brooklyn",885,230,126,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0323456163831826,0.00840620538771978,0.00460513860370736
2020-04-16,"Manhattan",355,105,55,NA,NA,NA,NA,NA,NA,1694251,19.2,0.020953211773226,0.00619742883433446,0.00324627224655615
2020-04-16,"Queens",1139,238,132,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0473505319555811,0.00989414100564382,0.00548750677623943
2020-04-16,"Staten Island",211,42,14,NA,NA,NA,NA,NA,NA,495747,5.6,0.0425620326497185,0.00847206337103402,0.002824021123678
2020-04-17,"Bronx",916,170,88,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0622006255372953,0.0115437842154369,0.00597560594681439
2020-04-17,"Brooklyn",962,232,118,NA,NA,NA,NA,NA,NA,2736074,31.1,0.0351598677521149,0.00847930282587386,0.00431274885109102
2020-04-17,"Manhattan",330,106,41,NA,NA,NA,NA,NA,NA,1694251,19.2,0.0194776334793369,0.00625645196609003,0.00241994840197822
2020-04-17,"Queens",1099,254,122,NA,NA,NA,NA,NA,NA,2405464,27.3,0.0456876511142965,0.0105592933421577,0.00507178656591826
2020-04-17,"Staten Island",279,32,15,NA,NA,NA,NA,NA,NA,495747,5.6,0.0562787066790117,0.00645490542554973,0.00302573691822643
2020-04-18,"Bronx",552,135,62,NA,NA,NA,NA,NA,NA,1472654,16.7,0.0374833463936539,0.00916712275931753,0.00421008600798287
